url,reason,title,company
https://www.104.com.tw/job/7wef1?jobsource=2018indexpoc,no,,
https://www.104.com.tw/job/83x59?jobsource=2018indexpoc,no,,
https://www.104.com.tw/job/6vpd9?jobsource=2018indexpoc,no,,
https://www.104.com.tw/job/2gqs2?jobsource=2018indexpoc,no,,
https://www.104.com.tw/job/3m4u4?jobsource=2018indexpoc,no,,
https://www.104.com.tw/job/6rrm2?jobsource=2018indexpoc,no,,
https://www.104.com.tw/job/848x9?jobsource=2018indexpoc,no,,
https://www.104.com.tw/job/84eh1?jobsource=2018indexpoc,no,,
https://www.104.com.tw/job/7zjml?jobsource=2018indexpoc,no,,
https://www.104.com.tw/job/832gw?jobsource=2018indexpoc,no,,
https://www.104.com.tw/job/6gb2x?jobsource=2018indexpoc,no,,
https://www.104.com.tw/job/7rz2q?jobsource=2018indexpoc,no,,
https://www.104.com.tw/job/807x8?jobsource=2018indexpoc,no,,
https://www.104.com.tw/job/834d6?jobsource=2018indexpoc,no,,
https://www.104.com.tw/job/724lq?jobsource=2018indexpoc,no,,
https://www.104.com.tw/job/7iffu?jobsource=2018indexpoc,no,,
https://www.104.com.tw/job/825ji?jobsource=2018indexpoc,no,,
https://www.104.com.tw/job/7tt4m?jobsource=2018indexpoc,no,,
https://www.104.com.tw/job/7qptw?jobsource=2018indexpoc,no,,
https://www.104.com.tw/job/6ol5n?jobsource=2018indexpoc,ok,,
https://www.104.com.tw/job/7z49e?jobsource=2018indexpoc,no,,
https://www.104.com.tw/job/7w9xm?jobsource=2018indexpoc,no,,
https://www.104.com.tw/job/7hzxb?jobsource=2018indexpoc,no,,
https://www.104.com.tw/job/7lpm5?jobsource=2018indexpoc,no,,
https://www.104.com.tw/job/7yruf?jobsource=2018indexpoc,no,,
https://www.104.com.tw/job/788ov?jobsource=2018indexpoc,no,,
https://www.104.com.tw/job/6uv29?jobsource=2018indexpoc,no,,
https://www.104.com.tw/job/7iffb?jobsource=2018indexpoc,no,,
https://www.104.com.tw/job/70bp3?jobsource=2018indexpoc,no,,
