brand,price,cnt,ml,link,price2,date
純煉紅棗枸杞,5800,65,60,https://www.privatecuisine.tw/products/%E7%B4%85%E6%A3%97%E6%9E%B8%E6%9D%9E%E6%BB%B4%E9%9B%9E%E7%B2%BE65%E5%85%A5%E7%84%A1%E7%9B%92%EF%BC%8C5%E5%8C%85%E4%B8%80%E6%9D%9F%EF%BC%8C%E5%85%B113%E6%9D%9F,0.672413793,06/10/2023
芳茲,6800,50,50,https://www.fun-s.com.tw/products/essenceofchicken-godsc-self,0.367647059,06/10/2023
老協珍,4880,42,42,https://lxz.com.tw/product/CCB700,0.36147541,06/10/2023
純煉,3090,30,60,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10872669&str_category_code=4400200126&sourcePageType=4,0.582524272,06/10/2023
享食尚,2650,27,45,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=6854589&Area=search&mdiv=403&oid=1_3&cid=index&kw=%E6%BB%B4%E9%9B%9E%E7%B2%BE,0.458490566,06/10/2023
老協珍,2299,25,42,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9093845,0.456720313,06/10/2023
享食尚,5800,60,45,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=6854590,0.465517241,06/10/2023
brand,price,cnt,ml,link,price2,date
農純鄉,8000,60,100,https://shop.nongchunxiang.com.tw/products/chicken-roomteper-60,0.75,07/05/2023
農純鄉,4099,28,100,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10086436&str_category_code=4400200061&ctype=B&Area=DgrpCategory&sourcePageType=4,0.683093437,07/05/2023
純煉紅棗枸杞,5800,65,60,https://www.privatecuisine.tw/products/%E7%B4%85%E6%A3%97%E6%9E%B8%E6%9D%9E%E6%BB%B4%E9%9B%9E%E7%B2%BE65%E5%85%A5%E7%84%A1%E7%9B%92%EF%BC%8C5%E5%8C%85%E4%B8%80%E6%9D%9F%EF%BC%8C%E5%85%B113%E6%9D%9F,0.672413793,07/05/2023
芳茲,6800,50,50,https://www.fun-s.com.tw/products/essenceofchicken-godsc-self,0.367647059,07/05/2023
純煉,3360,30,60,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10872669&str_category_code=4400200126&sourcePageType=4,0.535714286,07/05/2023
享食尚,2550,27,45,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=6854589&Area=search&mdiv=403&oid=1_3&cid=index&kw=%E6%BB%B4%E9%9B%9E%E7%B2%BE,0.476470588,07/05/2023
老協珍,2299,25,42,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9093845,0.456720313,07/05/2023
享食尚,5800,60,45,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=6854590,0.465517241,07/05/2023
brand,price,cnt,ml,link,price2,date
農純鄉,8000,60,100,https://shop.nongchunxiang.com.tw/products/chicken-roomteper-60,0.75,07/16/2023
農純鄉,4099,28,100,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10086436&str_category_code=4400200061&ctype=B&Area=DgrpCategory&sourcePageType=4,0.683093437,07/16/2023
純煉紅棗枸杞,5800,65,60,https://www.privatecuisine.tw/products/%E7%B4%85%E6%A3%97%E6%9E%B8%E6%9D%9E%E6%BB%B4%E9%9B%9E%E7%B2%BE65%E5%85%A5%E7%84%A1%E7%9B%92%EF%BC%8C5%E5%8C%85%E4%B8%80%E6%9D%9F%EF%BC%8C%E5%85%B113%E6%9D%9F,0.672413793,07/16/2023
芳茲,6800,50,50,https://www.fun-s.com.tw/products/essenceofchicken-godsc-self,0.367647059,07/16/2023
純煉,3360,30,60,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10872669&str_category_code=4400200126&sourcePageType=4,0.535714286,07/16/2023
享食尚,2765,27,45,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=6854589&Area=search&mdiv=403&oid=1_3&cid=index&kw=%E6%BB%B4%E9%9B%9E%E7%B2%BE,0.439421338,07/16/2023
老協珍,2498,25,42,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9093845,0.420336269,07/16/2023
享食尚,5550,60,45,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=6854590,0.486486486,07/16/2023
brand,price,cnt,ml,link,price2,date
農純鄉,8000,60,100,https://shop.nongchunxiang.com.tw/products/chicken-roomteper-60,0.75,08/12/2023
農純鄉,4099,28,100,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10086436&str_category_code=4400200061&ctype=B&Area=DgrpCategory&sourcePageType=4,0.683093437,08/12/2023
純煉紅棗枸杞,5800,65,60,https://www.privatecuisine.tw/products/%E7%B4%85%E6%A3%97%E6%9E%B8%E6%9D%9E%E6%BB%B4%E9%9B%9E%E7%B2%BE65%E5%85%A5%E7%84%A1%E7%9B%92%EF%BC%8C5%E5%8C%85%E4%B8%80%E6%9D%9F%EF%BC%8C%E5%85%B113%E6%9D%9F,0.672413793,08/12/2023
芳茲,6800,50,50,https://www.fun-s.com.tw/products/essenceofchicken-godsc-self,0.367647059,08/12/2023
